name,id,nametype,recclass,mass (g),fall,year,reclat,reclong
Meteorite_0000,1000,Valid,LL5,141.26844615910903,Found,2002-07-28,-84.39837377341529,30.476074976889322
Meteorite_0001,1001,Relict,OC,1140.1775400971828,Found,1970-05-02,85.01892316149059,-42.757200392544746
Meteorite_0002,1002,Valid,LL5,1848.0567539924884,Found,1987-10-02,30.984098411540316,-144.39473052034538
Meteorite_0003,1003,Valid,EH4,259.38176523546036,Found,1988-05-08,-14.469656147890404,-117.43768662755383
Meteorite_0004,1004,Valid,L6,2013.1101504354722,Fell,1980-05-02,-64.55244125141006,64.68240787331811
Meteorite_0005,1005,Valid,LL5,33.89106839219163,Found,1989-04-12,40.18160717184821,-174.01172982848357
Meteorite_0006,1006,Valid,H6,2439.4062955313234,Found,1969-06-25,11.360115792603509,138.05480750687371
Meteorite_0007,1007,Valid,LL5,125.97399650504859,Found,1979-11-16,38.00286134038248,31.656409252518074
Meteorite_0008,1008,Valid,H6,1037.7783088289225,Found,1950-09-17,-14.774002986794216,-163.7472015846849
Meteorite_0009,1009,Valid,OC,287.7920370495881,Found,2007-02-23,-78.0731850490359,-93.68372873101228
Meteorite_0010,1010,Valid,LL5,1811.2627752833434,Fell,1974-01-26,-33.30500390086915,33.91232780435567
Meteorite_0011,1011,Relict,H6,718.055556302218,Found,1970-08-20,-33.29626442135565,-167.18354443446657
Meteorite_0012,1012,Valid,LL5,145.30464474261683,Found,2003-10-09,-88.43775149922105,100.79546470479443
Meteorite_0013,1013,Valid,OC,846.2787129883335,Found,2020-02-18,-88.27541728219377,151.17194405901716
Meteorite_0014,1014,Valid,LL5,524.0503701695288,Found,2005-12-10,-30.463508303920207,166.03934158869743
Meteorite_0015,1015,Valid,H5,1083.0770378410357,Fell,1974-07-01,40.97220926385825,84.11732888418908
Meteorite_0016,1016,Valid,H6,2136.2513695734056,Found,1982-03-23,22.327871475037483,128.45716950222618
Meteorite_0017,1017,Valid,OC,526.597906833552,Found,2003-07-03,-46.976823592828374,39.8546864387051
Meteorite_0018,1018,Valid,H6,342.32226607220684,Found,1979-12-25,18.497277390990817,-14.924280765033188
Meteorite_0019,1019,Valid,H6,14.621469125240937,Found,1996-02-29,26.52796720070849,76.72851121399458
Meteorite_0020,1020,Valid,L5,855.2874473121544,Found,1964-06-19,4.062586108499829,-99.2949608654298
Meteorite_0021,1021,Valid,OC,514.6241079336401,Fell,1976-10-22,3.8437155336280426,-140.47764256960193
Meteorite_0022,1022,Valid,LL5,469.4425371110983,Found,1956-06-17,-23.445382848724933,94.26635140640349
Meteorite_0023,1023,Valid,H6,202.0370211408107,Found,1970-04-11,-67.78901452441738,164.94724547491285
Meteorite_0024,1024,Valid,EH4,562.2160196945403,Found,2016-10-29,-20.612915990923568,27.89255963808847
Meteorite_0025,1025,Valid,L5,4163.177319744509,Found,1998-04-24,-27.83982309357105,-6.284746440770277
Meteorite_0026,1026,Valid,H5,353.47172782089325,Found,1989-04-23,16.555066717690494,12.38552325798642
Meteorite_0027,1027,Valid,H6,915.5520382956996,Found,1967-04-25,64.1268303779895,-7.752893621460288
Meteorite_0028,1028,Valid,H6,1498.2851700768922,Fell,1966-04-04,-22.4324703287307,-20.807898776194236
Meteorite_0029,1029,Valid,L5,1382.931315209633,Found,1999-03-11,37.75235002194333,160.93284989263663
Meteorite_0030,1030,Valid,LL5,398.649816297971,Fell,1980-03-14,56.12946794936431,-7.2852511938305895
Meteorite_0031,1031,Valid,EH4,943.8163175579627,Found,1998-12-17,,
Meteorite_0032,1032,Valid,H5,2049.996806294404,Found,2019-05-03,72.29703183834934,95.5860044652851
Meteorite_0033,1033,Valid,H6,15.567982362282997,Found,1985-08-08,-77.31991112771509,-39.03782277315071
